Date,Average Flow,Average Temperature,Average Flow Scaled,Cluster,Cluster Name
2021-02-01,77.44,2.32,-0.5677031120104947,0,Lower-Medium
2021-02-02,76.27,2.47,-0.5733264798914692,0,Lower-Medium
2021-02-03,73.63,2.33,-0.586015104853668,0,Lower-Medium
2021-02-04,79.84,2.53,-0.5561679984084957,0,Lower-Medium
2021-02-05,74.46,2.58,-0.58202587806631,0,Lower-Medium
2021-05-01,177.12,6.4,-0.08861139374080643,0,Lower-Medium
2021-05-02,216.34,6.17,0.09989158770519249,1,Upper-Medium
2021-05-03,215.88,6.3,0.097680690931476,1,Upper-Medium
2021-05-04,224.9,6.16,0.1410334928856553,1,Upper-Medium
2021-05-05,287.48,6.84,0.44181158005777704,1,Upper-Medium
2021-08-01,577.63,17.23,1.836358751566104,2,High
2021-08-02,465.06,17.48,1.2953138606590133,1,Upper-Medium
2021-08-03,573.18,17.86,1.8149707284290642,2,High
2021-08-04,587.46,17.78,1.8836046543609581,2,High
2021-08-05,642.14,17.78,2.1464129925931665,2,High
2021-11-01,111.35,2.23,-0.4047215694089184,0,Lower-Medium
2021-11-02,122.66,2.34,-0.3503623465594985,0,Lower-Medium
2021-11-03,102.09,2.55,-0.4492278827232975,0,Lower-Medium
2021-11-04,110.39,3.13,-0.4093356148497179,0,Lower-Medium
2021-11-05,113.7,3.12,-0.39342677067362775,0,Lower-Medium
2022-02-01,103.63,3.23,-0.4418261848286816,0,Lower-Medium
2022-02-02,99.23,2.81,-0.4629738930990129,0,Lower-Medium
2022-02-03,119.42,2.57,-0.365934749922197,0,Lower-Medium
2022-02-04,99.43,2.38,-0.4620126336321796,0,Lower-Medium
2022-02-05,102.75,2.54,-0.4460557264827478,0,Lower-Medium
2022-05-01,189.78,5.36,-0.027763669490262172,1,Upper-Medium
2022-05-02,174.87,6.25,-0.09942556274268041,0,Lower-Medium
2022-05-03,178.89,7.03,-0.08010424745933231,0,Lower-Medium
2022-05-04,172.43,7.08,-0.11115292823804597,0,Lower-Medium
2022-05-05,127.18,6.43,-0.3286378826090672,0,Lower-Medium
2023-08-01,662.52,17.23,2.244365332263474,2,High
2023-08-02,714.13,17.48,2.4924183376797924,2,High
2023-08-03,707.66,17.86,2.4613215939277366,2,High
2023-08-04,668.98,17.78,2.275414013042188,2,High
2023-08-05,661.26,17.78,2.2383093976224244,2,High
2023-08-06,647.54,18.42,2.172366998197664,2,High
2023-08-08,563.91,18.94,1.7704163521413434,2,High
2023-08-09,499.63,18.82,1.4614675595011393,1,Upper-Medium
2023-08-10,521.37,17.87,1.565956463545913,1,Upper-Medium
2023-08-11,583.5,17.52,1.8645717169176597,2,High
2023-08-12,618.93,18.31,2.0348588314671683,2,High
2023-08-13,644.01,18.45,2.1554007686080574,2,High
2023-08-15,696.54,19.39,2.4078755675718084,2,High
2023-08-16,681.42,19.24,2.335204351879215,2,High
2023-08-17,700.05,18.75,2.424745671214732,2,High
2023-08-18,671.16,18.89,2.28589174123067,2,High
2023-08-19,627.95,16.16,2.0782116334213483,2,High
2023-08-20,610.35,15.36,1.9936208003400226,2,High
2023-08-22,506.85,16.93,1.4961690262538194,1,Upper-Medium
2023-08-23,468.29,16.49,1.3108382010483703,1,Upper-Medium
2023-08-24,501.66,16.05,1.471224343089497,1,Upper-Medium
2023-08-25,512.25,15.72,1.522123031858317,1,Upper-Medium
2023-08-26,551.51,16.69,1.7108182651976824,1,Upper-Medium
2023-08-27,595.07,17.07,1.920180577073963,2,High
2023-08-29,535.17,17.38,1.6322833667574064,1,Upper-Medium
2023-08-30,382.96,17.23,0.900716849523967,1,Upper-Medium
2023-09-01,286.49,15.58,0.4370533456969525,1,Upper-Medium
2023-09-02,343.98,15.69,0.7133673794381682,1,Upper-Medium
2023-09-03,370.57,16.2,0.8411668255536476,1,Upper-Medium
2023-09-04,358.25,16.36,0.7819532423967199,1,Upper-Medium
2023-09-05,386.64,16.08,0.9184040237136987,1,Upper-Medium
2023-09-06,424.31,15.53,1.09945724429174,1,Upper-Medium
2023-09-08,411.07,15.26,1.0358218675873794,1,Upper-Medium
2023-09-09,431.41,15.48,1.1335819553643203,1,Upper-Medium
2023-09-10,437.18,15.76,1.1613142909824592,1,Upper-Medium
2023-09-11,420.57,16.49,1.0814816922619583,1,Upper-Medium
2023-09-12,358.95,16.5,0.7853176505306363,1,Upper-Medium
2023-09-13,322.6,16.5,0.6106087424336946,1,Upper-Medium
2023-09-15,407.86,15.47,1.020393653144706,1,Upper-Medium
2023-09-16,405.69,16.03,1.0099639879295652,1,Upper-Medium
2023-09-17,417.42,16.64,1.066341855659335,1,Upper-Medium
2023-09-18,352.9,16.26,0.7562395516589306,1,Upper-Medium
2023-09-19,268.56,13.16,0.3508764344953522,1,Upper-Medium
2023-09-20,165.89,11.34,-0.1425861128034931,0,Lower-Medium
2023-09-22,166.12,10.51,-0.1414806644166348,0,Lower-Medium
2023-09-23,125.5,10.82,-0.33671246213046646,0,Lower-Medium
2023-09-24,117.59,11.88,-0.37473027404372117,0,Lower-Medium
2023-09-25,113.97,12.09,-0.3921290703934029,0,Lower-Medium
2023-09-26,94.53,12.08,-0.4855634905695941,0,Lower-Medium
2023-09-27,106.01,12.1,-0.43038719717336593,0,Lower-Medium
2023-09-29,118.57,11.1,-0.37002010265623836,0,Lower-Medium
2023-09-30,112.83,10.38,-0.3976082493543524,0,Lower-Medium
2023-10-01,124.6,9.72,-0.34103812973121606,0,Lower-Medium
2023-10-02,124.54,9.2,-0.341326507571266,0,Lower-Medium
2023-10-03,110.29,9.27,-0.40981624458313454,0,Lower-Medium
2023-10-04,128.46,9.88,-0.3224858220213344,0,Lower-Medium
2023-10-06,120.49,11.05,-0.3607920117746392,0,Lower-Medium
2023-10-07,120.03,10.54,-0.3630029085483556,0,Lower-Medium
2023-10-08,113.78,10.01,-0.3930422668868945,0,Lower-Medium
2023-10-09,120.69,9.96,-0.3598307523078059,0,Lower-Medium
2023-10-10,117.64,10.3,-0.3744899591770129,0,Lower-Medium
2023-10-11,114.79,10.71,-0.38818790657938657,0,Lower-Medium
2023-10-13,78.96,8.96,-0.560397540062562,0,Lower-Medium
2023-10-14,83.08,8.75,-0.5405955950457972,0,Lower-Medium
2023-10-15,75.52,8.98,-0.5769312028920939,0,Lower-Medium
2023-10-16,97.22,9.36,-0.472634550740687,0,Lower-Medium
2023-10-17,98.11,9.91,-0.46835694611327905,0,Lower-Medium
2023-10-18,94.05,9.89,-0.48787051328999387,0,Lower-Medium
2023-10-20,100.27,10.25,-0.45797534387148003,0,Lower-Medium
2023-10-21,98.12,9.65,-0.46830888313993735,0,Lower-Medium
2023-10-22,100.74,9.31,-0.45571638412442195,0,Lower-Medium
2023-10-23,183.87,8.46,-0.056168886735184484,0,Lower-Medium
2023-10-24,233.59,8.03,0.18280021671955968,1,Upper-Medium
2023-10-25,165.51,7.92,-0.14441250579047624,0,Lower-Medium
2023-11-01,60.5,2.23,-0.6491217888512704,0,Lower-Medium
2023-11-02,65.18,2.34,-0.6266283173273725,0,Lower-Medium
2023-11-03,68.14,2.55,-0.6124016772182405,0,Lower-Medium
2023-11-04,65.64,3.13,-0.6244174205536561,0,Lower-Medium
2023-11-16,72.86,3.5,-0.589715953800976,0,Lower-Medium
2023-11-17,73.35,2.53,-0.5873608681072345,0,Lower-Medium
2023-11-18,64.51,2.01,-0.6298485365412639,0,Lower-Medium
2023-11-19,61.77,1.79,-0.6430177912368792,0,Lower-Medium
2023-11-20,76.08,2.23,-0.5742396763849608,0,Lower-Medium
2023-11-21,60.15,3.18,-0.6508039929182285,0,Lower-Medium
2023-11-22,37.78,4.1,-0.7583208642835267,3,Low
2023-11-23,55.08,3.23,-0.6751719204024513,0,Lower-Medium
2023-11-24,51.27,2.97,-0.6934839132456245,3,Low
2023-11-25,63.82,2.71,-0.6331648817018386,0,Lower-Medium
2023-11-26,52.79,2.81,-0.686178341297692,3,Low
2023-11-27,51.4,2.85,-0.6928590945921829,3,Low
2023-11-28,48.41,3.26,-0.70722992362134,3,Low
2023-11-29,43.19,3.27,-0.7323187957056876,3,Low
2023-12-08,66.89,2.1,-0.6184095488859483,0,Lower-Medium
2023-12-09,62.7,2.1,-0.6385479347161047,0,Lower-Medium
2023-12-10,53.47,1.87,-0.6829100591104589,3,Low
2023-12-11,68.85,1.8,-0.6089892061109825,0,Lower-Medium
2023-12-12,63.14,2.77,-0.6364331638890717,0,Lower-Medium
2023-12-13,56.92,3.0,-0.6663283333075853,0,Lower-Medium
2023-12-14,41.35,3.02,-0.7411623828005534,3,Low
2023-12-21,20.2,2.09,-0.8428155714181689,3,Low
2023-12-26,36.1,2.71,-0.7663954438049261,3,Low
2023-12-29,30.63,3.24,-0.7926858902228152,3,Low
2023-12-31,29.53,2.6,-0.797972817290398,3,Low
2024-01-02,31.0,3.09,-0.7909075602091737,3,Low
2024-01-04,31.17,2.97,-0.7900904896623654,3,Low
2024-01-05,31.59,2.77,-0.7880718447820156,3,Low
2024-01-07,22.66,2.73,-0.8309920799761199,3,Low
2024-01-08,34.46,3.07,-0.7742777714329585,3,Low
2024-01-10,38.47,2.6,-0.7550045191229521,3,Low
2024-01-11,31.69,1.98,-0.787591215048599,3,Low
2024-01-12,36.08,1.53,-0.7664915697516094,3,Low
2024-01-14,28.97,1.24,-0.8006643437975312,3,Low
2024-01-15,35.06,1.09,-0.7713939930324588,3,Low
2024-01-17,28.11,1.6,-0.804797759504914,3,Low
2024-01-19,33.3,2.12,-0.7798530763405913,3,Low
2024-01-20,30.23,1.66,-0.7946084091564817,3,Low
2024-01-21,37.44,2.52,-0.7599550053771433,3,Low
2024-01-30,49.43,2.57,-0.7023275003404903,3,Low
2024-01-31,36.47,2.49,-0.7646171137912845,3,Low
2024-02-01,46.87,2.46,-0.7146316215159558,3,Low
2024-02-02,38.6,2.62,-0.7543797004695105,3,Low
2024-02-03,42.81,2.79,-0.7341451886926706,3,Low
2024-02-04,39.91,2.61,-0.7480834509617528,3,Low
2024-02-05,46.24,2.83,-0.7176595888364805,3,Low
2024-02-06,32.6,2.17,-0.7832174844745078,3,Low
2024-02-07,47.01,2.42,-0.7139587398891727,3,Low
2024-02-08,32.54,2.79,-0.7835058623145578,3,Low
2024-02-09,48.7,2.95,-0.7058360973944318,3,Low
2024-02-10,42.41,3.31,-0.7360677076263372,3,Low
2024-02-11,40.82,2.69,-0.7437097203876615,3,Low
2024-02-12,41.53,3.1,-0.7402972492804034,3,Low
2024-02-13,48.53,3.29,-0.70665316794124,3,Low
2024-02-14,36.97,2.81,-0.7622139651242014,3,Low
2024-02-15,38.86,2.39,-0.7531300631626272,3,Low
2024-02-16,39.13,1.74,-0.7518323628824024,3,Low
2024-02-17,44.12,2.47,-0.7278489391849129,3,Low
2024-02-18,27.81,1.75,-0.806239648705164,3,Low
2024-02-19,45.21,2.16,-0.7226100750906718,3,Low
2024-02-20,34.44,2.62,-0.7743738973796419,3,Low
2024-02-21,45.21,3.57,-0.7226100750906718,3,Low
2024-02-22,33.42,3.11,-0.7792763206604914,3,Low
2024-02-23,43.44,3.66,-0.731117221372146,3,Low
2024-02-24,40.81,3.0,-0.7437577833610031,3,Low
2024-02-25,46.35,3.78,-0.7171308961297224,3,Low
2024-02-26,43.09,3.0,-0.7327994254391041,3,Low
2024-02-27,40.62,2.72,-0.7446709798544947,3,Low
2024-02-28,45.73,3.19,-0.7201108004769055,3,Low
2024-02-29,35.16,2.69,-0.7709133632990423,3,Low
2024-03-01,47.96,3.23,-0.7093927574217147,3,Low
2024-03-02,41.05,3.64,-0.7426042720008031,3,Low
2024-03-03,38.84,3.06,-0.7532261891093106,3,Low
