Date,Average Flow,Average Temperature
2021-08-01,577.63,17.23
2021-08-03,573.18,17.86
2021-08-04,587.46,17.78
2021-08-05,642.14,17.78
2023-08-01,662.52,17.23
2023-08-02,714.13,17.48
2023-08-03,707.66,17.86
2023-08-04,668.98,17.78
2023-08-05,661.26,17.78
2023-08-06,647.54,18.42
2023-08-08,563.91,18.94
2023-08-11,583.5,17.52
2023-08-12,618.93,18.31
2023-08-13,644.01,18.45
2023-08-15,696.54,19.39
2023-08-16,681.42,19.24
2023-08-17,700.05,18.75
2023-08-18,671.16,18.89
2023-08-19,627.95,16.16
2023-08-20,610.35,15.36
2023-08-27,595.07,17.07
