Date,Average Flow,Average Temperature
2023-11-22,37.78,4.1
2023-11-24,51.27,2.97
2023-11-26,52.79,2.81
2023-11-27,51.4,2.85
2023-11-28,48.41,3.26
2023-11-29,43.19,3.27
2023-12-10,53.47,1.87
2023-12-14,41.35,3.02
2023-12-21,20.2,2.09
2023-12-26,36.1,2.71
2023-12-29,30.63,3.24
2023-12-31,29.53,2.6
2024-01-02,31.0,3.09
2024-01-04,31.17,2.97
2024-01-05,31.59,2.77
2024-01-07,22.66,2.73
2024-01-08,34.46,3.07
2024-01-10,38.47,2.6
2024-01-11,31.69,1.98
2024-01-12,36.08,1.53
2024-01-14,28.97,1.24
2024-01-15,35.06,1.09
2024-01-17,28.11,1.6
2024-01-19,33.3,2.12
2024-01-20,30.23,1.66
2024-01-21,37.44,2.52
2024-01-30,49.43,2.57
2024-01-31,36.47,2.49
2024-02-01,46.87,2.46
2024-02-02,38.6,2.62
2024-02-03,42.81,2.79
2024-02-04,39.91,2.61
2024-02-05,46.24,2.83
2024-02-06,32.6,2.17
2024-02-07,47.01,2.42
2024-02-08,32.54,2.79
2024-02-09,48.7,2.95
2024-02-10,42.41,3.31
2024-02-11,40.82,2.69
2024-02-12,41.53,3.1
2024-02-13,48.53,3.29
2024-02-14,36.97,2.81
2024-02-15,38.86,2.39
2024-02-16,39.13,1.74
2024-02-17,44.12,2.47
2024-02-18,27.81,1.75
2024-02-19,45.21,2.16
2024-02-20,34.44,2.62
2024-02-21,45.21,3.57
2024-02-22,33.42,3.11
2024-02-23,43.44,3.66
2024-02-24,40.81,3.0
2024-02-25,46.35,3.78
2024-02-26,43.09,3.0
2024-02-27,40.62,2.72
2024-02-28,45.73,3.19
2024-02-29,35.16,2.69
2024-03-01,47.96,3.23
2024-03-02,41.05,3.64
2024-03-03,38.84,3.06
