Date,Average Flow,Average Temperature,Average Flow Scaled,Cluster,Cluster Name,Low Cluster Probability
2023-11-22,37.78,4.1,-0.7583208642835267,3,Low,0.9267010842943231
2023-11-29,43.19,3.27,-0.7323187957056876,3,Low,0.9026583402978091
2023-12-14,41.35,3.02,-0.7411623828005534,3,Low,0.9156207273836011
2023-12-26,36.1,2.71,-0.7663954438049261,3,Low,0.9268658240886886
2023-12-29,30.63,3.24,-0.7926858902228152,3,Low,0.9037191632476046
2024-01-02,31.0,3.09,-0.7909075602091737,3,Low,0.9067371505812633
2024-01-04,31.17,2.97,-0.7900904896623654,3,Low,0.908034731345802
2024-01-05,31.59,2.77,-0.7880718447820156,3,Low,0.9110129776204344
2024-01-08,34.46,3.07,-0.7742777714329585,3,Low,0.9240706398879855
2024-01-10,38.47,2.6,-0.7550045191229521,3,Low,0.9257526627652624
2024-01-11,31.69,1.98,-0.787591215048599,3,Low,0.9116761462655446
2024-01-12,36.08,1.53,-0.7664915697516094,3,Low,0.9268496241356595
2024-01-15,35.06,1.09,-0.7713939930324588,3,Low,0.9254444063332292
2024-01-19,33.3,2.12,-0.7798530763405913,3,Low,0.9201749391010439
2024-01-20,30.23,1.66,-0.7946084091564817,3,Low,0.9001405919160475
2024-01-21,37.44,2.52,-0.7599550053771433,3,Low,0.9269777845217649
2024-01-31,36.47,2.49,-0.7646171137912845,3,Low,0.9270881162911406
2024-02-02,38.6,2.62,-0.7543797004695105,3,Low,0.925514845941578
2024-02-03,42.81,2.79,-0.7341451886926706,3,Low,0.9058465743769545
2024-02-04,39.91,2.61,-0.7480834509617528,3,Low,0.9220172597048004
2024-02-06,32.6,2.17,-0.7832174844745078,3,Low,0.916958664903953
2024-02-08,32.54,2.79,-0.7835058623145578,3,Low,0.9166501154099299
2024-02-10,42.41,3.31,-0.7360677076263372,3,Low,0.9088979538907263
2024-02-11,40.82,2.69,-0.7437097203876615,3,Low,0.9183140200630618
2024-02-12,41.53,3.1,-0.7402972492804034,3,Low,0.9146092502520373
2024-02-14,36.97,2.81,-0.7622139651242014,3,Low,0.9271564005236044
2024-02-15,38.86,2.39,-0.7531300631626272,3,Low,0.9249817012203181
2024-02-16,39.13,1.74,-0.7518323628824024,3,Low,0.9243455493295275
2024-02-20,34.44,2.62,-0.7743738973796419,3,Low,0.9240175903430015
2024-02-22,33.42,3.11,-0.7792763206604914,3,Low,0.9206581241217036
2024-02-23,43.44,3.66,-0.731117221372146,3,Low,0.9003974212227912
2024-02-24,40.81,3.0,-0.7437577833610031,3,Low,0.9183608873860354
2024-02-26,43.09,3.0,-0.7327994254391041,3,Low,0.9035257927928723
2024-02-27,40.62,2.72,-0.7446709798544947,3,Low,0.9192245015510297
2024-02-29,35.16,2.69,-0.7709133632990423,3,Low,0.9256331758284058
2024-03-02,41.05,3.64,-0.7426042720008031,3,Low,0.917196271468074
2024-03-03,38.84,3.06,-0.7532261891093106,3,Low,0.9250254589420852
