Date,Average Flow,Average Temperature,Average Temperature (K),k
2023-11-22,37.78,4.1,277.25,1.204
2023-11-24,51.27,2.97,276.12,1.098
2023-11-26,52.79,2.81,275.96,1.084
2023-11-27,51.4,2.85,276.0,1.087
2023-11-28,48.41,3.26,276.41,1.125
2023-11-29,43.19,3.27,276.42,1.126
2023-12-10,53.47,1.87,275.02,1.003
2023-12-14,41.35,3.02,276.17,1.103
2023-12-21,20.2,2.09,275.24,1.022
2023-12-26,36.1,2.71,275.86,1.075
2023-12-29,30.63,3.24,276.39,1.123
2023-12-31,29.53,2.6,275.75,1.065
2024-01-02,31.0,3.09,276.24,1.109
2024-01-04,31.17,2.97,276.12,1.098
2024-01-05,31.59,2.77,275.92,1.08
2024-01-07,22.66,2.73,275.88,1.077
2024-01-08,34.46,3.07,276.22,1.107
2024-01-10,38.47,2.6,275.75,1.065
2024-01-11,31.69,1.98,275.13,1.012
2024-01-12,36.08,1.53,274.68,0.975
2024-01-14,28.97,1.24,274.39,0.952
2024-01-15,35.06,1.09,274.24,0.94
2024-01-17,28.11,1.6,274.75,0.981
2024-01-19,33.3,2.12,275.27,1.024
2024-01-20,30.23,1.66,274.81,0.986
2024-01-21,37.44,2.52,275.67,1.058
2024-01-30,49.43,2.57,275.72,1.063
2024-01-31,36.47,2.49,275.64,1.056
2024-02-01,46.87,2.46,275.61,1.053
2024-02-02,38.6,2.62,275.77,1.067
2024-02-03,42.81,2.79,275.94,1.082
2024-02-04,39.91,2.61,275.76,1.066
2024-02-05,46.24,2.83,275.98,1.086
2024-02-06,32.6,2.17,275.32,1.028
2024-02-07,47.01,2.42,275.57,1.05
2024-02-08,32.54,2.79,275.94,1.082
2024-02-09,48.7,2.95,276.1,1.096
2024-02-10,42.41,3.31,276.46,1.129
2024-02-11,40.82,2.69,275.84,1.073
2024-02-12,41.53,3.1,276.25,1.11
2024-02-13,48.53,3.29,276.44,1.127
2024-02-14,36.97,2.81,275.96,1.084
2024-02-15,38.86,2.39,275.54,1.047
2024-02-16,39.13,1.74,274.89,0.993
2024-02-17,44.12,2.47,275.62,1.054
2024-02-18,27.81,1.75,274.9,0.993
2024-02-19,45.21,2.16,275.31,1.028
2024-02-20,34.44,2.62,275.77,1.067
2024-02-21,45.21,3.57,276.72,1.153
2024-02-22,33.42,3.11,276.26,1.111
2024-02-23,43.44,3.66,276.81,1.162
2024-02-24,40.81,3.0,276.15,1.101
2024-02-25,46.35,3.78,276.93,1.173
2024-02-26,43.09,3.0,276.15,1.101
2024-02-27,40.62,2.72,275.87,1.076
2024-02-28,45.73,3.19,276.34,1.118
2024-02-29,35.16,2.69,275.84,1.073
2024-03-01,47.96,3.23,276.38,1.122
2024-03-02,41.05,3.64,276.79,1.16
2024-03-03,38.84,3.06,276.21,1.106
