Date,Average Flow,Average Temperature
2021-02-01,77.44,2.32
2021-02-02,76.27,2.47
2021-02-03,73.63,2.33
2021-02-04,79.84,2.53
2021-02-05,74.46,2.58
2021-05-01,177.12,6.4
2021-11-01,111.35,2.23
2021-11-02,122.66,2.34
2021-11-03,102.09,2.55
2021-11-04,110.39,3.13
2021-11-05,113.7,3.12
2022-02-01,103.63,3.23
2022-02-02,99.23,2.81
2022-02-03,119.42,2.57
2022-02-04,99.43,2.38
2022-02-05,102.75,2.54
2022-05-02,174.87,6.25
2022-05-03,178.89,7.03
2022-05-04,172.43,7.08
2022-05-05,127.18,6.43
2023-09-20,165.89,11.34
2023-09-22,166.12,10.51
2023-09-23,125.5,10.82
2023-09-24,117.59,11.88
2023-09-25,113.97,12.09
2023-09-26,94.53,12.08
2023-09-27,106.01,12.1
2023-09-29,118.57,11.1
2023-09-30,112.83,10.38
2023-10-01,124.6,9.72
2023-10-02,124.54,9.2
2023-10-03,110.29,9.27
2023-10-04,128.46,9.88
2023-10-06,120.49,11.05
2023-10-07,120.03,10.54
2023-10-08,113.78,10.01
2023-10-09,120.69,9.96
2023-10-10,117.64,10.3
2023-10-11,114.79,10.71
2023-10-13,78.96,8.96
2023-10-14,83.08,8.75
2023-10-15,75.52,8.98
2023-10-16,97.22,9.36
2023-10-17,98.11,9.91
2023-10-18,94.05,9.89
2023-10-20,100.27,10.25
2023-10-21,98.12,9.65
2023-10-22,100.74,9.31
2023-10-23,183.87,8.46
2023-10-25,165.51,7.92
2023-11-01,60.5,2.23
2023-11-02,65.18,2.34
2023-11-03,68.14,2.55
2023-11-04,65.64,3.13
2023-11-16,72.86,3.5
2023-11-17,73.35,2.53
2023-11-18,64.51,2.01
2023-11-19,61.77,1.79
2023-11-20,76.08,2.23
2023-11-21,60.15,3.18
2023-11-23,55.08,3.23
2023-11-25,63.82,2.71
2023-12-08,66.89,2.1
2023-12-09,62.7,2.1
2023-12-11,68.85,1.8
2023-12-12,63.14,2.77
2023-12-13,56.92,3.0
