Date,Average Flow,Average Temperature,Average Temperature (K),k
2021-02-01,77.44,2.32,275.47,1.041
2021-02-02,76.27,2.47,275.62,1.054
2021-02-03,73.63,2.33,275.48,1.042
2021-02-04,79.84,2.53,275.68,1.059
2021-02-05,74.46,2.58,275.73,1.064
2021-05-01,177.12,6.4,279.55,1.45
2021-11-01,111.35,2.23,275.38,1.033
2021-11-02,122.66,2.34,275.49,1.043
2021-11-03,102.09,2.55,275.7,1.061
2021-11-04,110.39,3.13,276.28,1.113
2021-11-05,113.7,3.12,276.27,1.112
2022-02-01,103.63,3.23,276.38,1.122
2022-02-02,99.23,2.81,275.96,1.084
2022-02-03,119.42,2.57,275.72,1.063
2022-02-04,99.43,2.38,275.53,1.046
2022-02-05,102.75,2.54,275.69,1.06
2022-05-02,174.87,6.25,279.4,1.432
2022-05-03,178.89,7.03,280.18,1.524
2022-05-04,172.43,7.08,280.23,1.53
2022-05-05,127.18,6.43,279.58,1.453
2023-09-20,165.89,11.34,284.49,2.137
2023-09-22,166.12,10.51,283.66,2.004
2023-09-23,125.5,10.82,283.97,2.052
2023-09-24,117.59,11.88,285.03,2.227
2023-09-25,113.97,12.09,285.24,2.264
2023-09-26,94.53,12.08,285.23,2.262
2023-09-27,106.01,12.1,285.25,2.265
2023-09-29,118.57,11.1,284.25,2.097
2023-09-30,112.83,10.38,283.53,1.984
2023-10-01,124.6,9.72,282.87,1.884
2023-10-02,124.54,9.2,282.35,1.809
2023-10-03,110.29,9.27,282.42,1.819
2023-10-04,128.46,9.88,283.03,1.908
2023-10-06,120.49,11.05,284.2,2.089
2023-10-07,120.03,10.54,283.69,2.008
2023-10-08,113.78,10.01,283.16,1.927
2023-10-09,120.69,9.96,283.11,1.92
2023-10-10,117.64,10.3,283.45,1.971
2023-10-11,114.79,10.71,283.86,2.035
2023-10-13,78.96,8.96,282.11,1.775
2023-10-15,75.52,8.98,282.13,1.778
2023-10-17,98.11,9.91,283.06,1.912
2023-10-18,94.05,9.89,283.04,1.909
2023-10-20,100.27,10.25,283.4,1.964
2023-10-21,98.12,9.65,282.8,1.874
2023-10-22,100.74,9.31,282.46,1.825
2023-10-23,183.87,8.46,281.61,1.707
2023-10-25,165.51,7.92,281.07,1.636
2023-11-02,65.18,2.34,275.49,1.043
2023-11-03,68.14,2.55,275.7,1.061
2023-11-04,65.64,3.13,276.28,1.113
2023-11-16,72.86,3.5,276.65,1.147
2023-11-17,73.35,2.53,275.68,1.059
2023-11-18,64.51,2.01,275.16,1.015
2023-11-19,61.77,1.79,274.94,0.997
2023-11-20,76.08,2.23,275.38,1.033
2023-11-21,60.15,3.18,276.33,1.117
2023-11-23,55.08,3.23,276.38,1.122
2023-11-25,63.82,2.71,275.86,1.075
2023-12-08,66.89,2.1,275.25,1.022
2023-12-09,62.7,2.1,275.25,1.022
2023-12-11,68.85,1.8,274.95,0.997
2023-12-12,63.14,2.77,275.92,1.08
2023-12-13,56.92,3.0,276.15,1.101
