Date,Average Flow,Average Temperature
2021-05-02,216.34,6.17
2021-05-03,215.88,6.3
2021-05-04,224.9,6.16
2021-05-05,287.48,6.84
2021-08-02,465.06,17.48
2022-05-01,189.78,5.36
2023-08-09,499.63,18.82
2023-08-10,521.37,17.87
2023-08-22,506.85,16.93
2023-08-23,468.29,16.49
2023-08-24,501.66,16.05
2023-08-25,512.25,15.72
2023-08-26,551.51,16.69
2023-08-29,535.17,17.38
2023-08-30,382.96,17.23
2023-09-01,286.49,15.58
2023-09-02,343.98,15.69
2023-09-03,370.57,16.2
2023-09-04,358.25,16.36
2023-09-05,386.64,16.08
2023-09-06,424.31,15.53
2023-09-08,411.07,15.26
2023-09-09,431.41,15.48
2023-09-10,437.18,15.76
2023-09-11,420.57,16.49
2023-09-12,358.95,16.5
2023-09-13,322.6,16.5
2023-09-15,407.86,15.47
2023-09-16,405.69,16.03
2023-09-17,417.42,16.64
2023-09-18,352.9,16.26
2023-09-19,268.56,13.16
2023-10-24,233.59,8.03
