Date,Day_of_week,Average Flow,Average Temperature,Cluster Name,Cluster_Pattern
2021-02-01,Monday,77.44,2.32,Lower-Medium,3
2021-02-02,Tuesday,76.27,2.47,Lower-Medium,3
2021-02-03,Wednesday,73.63,2.33,Lower-Medium,3
2021-02-04,Thursday,79.84,2.53,Lower-Medium,3
2021-02-05,Friday,74.46,2.58,Lower-Medium,3
2021-05-01,Saturday,177.12,6.4,Lower-Medium,3
2021-05-02,Sunday,216.34,6.17,Upper-Medium,3
2021-05-03,Monday,215.88,6.3,Upper-Medium,3
2021-05-04,Tuesday,224.9,6.16,Upper-Medium,3
2021-05-05,Wednesday,287.48,6.84,Upper-Medium,3
2021-08-01,Sunday,577.63,17.23,High,1
2021-08-02,Monday,465.06,17.48,Upper-Medium,1
2021-08-03,Tuesday,573.18,17.86,High,1
2021-08-04,Wednesday,587.46,17.78,High,1
2021-08-05,Thursday,642.14,17.78,High,1
2021-11-01,Monday,111.35,2.23,Lower-Medium,1
2021-11-02,Tuesday,122.66,2.34,Lower-Medium,3
2021-11-03,Wednesday,102.09,2.55,Lower-Medium,3
2021-11-04,Thursday,110.39,3.13,Lower-Medium,3
2021-11-05,Friday,113.7,3.12,Lower-Medium,1
2022-02-01,Tuesday,103.63,3.23,Lower-Medium,3
2022-02-02,Wednesday,99.23,2.81,Lower-Medium,1
2022-02-03,Thursday,119.42,2.57,Lower-Medium,3
2022-02-04,Friday,99.43,2.38,Lower-Medium,3
2022-02-05,Saturday,102.75,2.54,Lower-Medium,3
2022-05-01,Sunday,189.78,5.36,Upper-Medium,3
2022-05-02,Monday,174.87,6.25,Lower-Medium,3
2022-05-03,Tuesday,178.89,7.03,Lower-Medium,3
2022-05-04,Wednesday,172.43,7.08,Lower-Medium,1
2022-05-05,Thursday,127.18,6.43,Lower-Medium,1
2023-08-01,Tuesday,662.52,17.23,High,1
2023-08-02,Wednesday,714.13,17.48,High,1
2023-08-03,Thursday,707.66,17.86,High,1
2023-08-04,Friday,668.98,17.78,High,1
2023-08-05,Saturday,661.26,17.78,High,1
2023-08-06,Sunday,647.54,18.42,High,1
2023-08-08,Tuesday,563.91,18.94,High,1
2023-08-09,Wednesday,499.63,18.82,Upper-Medium,1
2023-08-10,Thursday,521.37,17.87,Upper-Medium,1
2023-08-11,Friday,583.5,17.52,High,1
2023-08-12,Saturday,618.93,18.31,High,1
2023-08-13,Sunday,644.01,18.45,High,1
2023-08-15,Tuesday,696.54,19.39,High,1
2023-08-16,Wednesday,681.42,19.24,High,1
2023-08-17,Thursday,700.05,18.75,High,1
2023-08-18,Friday,671.16,18.89,High,1
2023-08-19,Saturday,627.95,16.16,High,1
2023-08-20,Sunday,610.35,15.36,High,1
2023-08-22,Tuesday,506.85,16.93,Upper-Medium,1
2023-08-23,Wednesday,468.29,16.49,Upper-Medium,1
2023-08-24,Thursday,501.66,16.05,Upper-Medium,1
2023-08-25,Friday,512.25,15.72,Upper-Medium,1
2023-08-26,Saturday,551.51,16.69,Upper-Medium,1
2023-08-27,Sunday,595.07,17.07,High,1
2023-08-29,Tuesday,535.17,17.38,Upper-Medium,1
2023-08-30,Wednesday,382.96,17.23,Upper-Medium,1
2023-09-01,Friday,286.49,15.58,Upper-Medium,1
2023-09-02,Saturday,343.98,15.69,Upper-Medium,1
2023-09-03,Sunday,370.57,16.2,Upper-Medium,1
2023-09-04,Monday,358.25,16.36,Upper-Medium,1
2023-09-05,Tuesday,386.64,16.08,Upper-Medium,1
2023-09-06,Wednesday,424.31,15.53,Upper-Medium,1
2023-09-08,Friday,411.07,15.26,Upper-Medium,1
